name;text
community_1;Du wirst aus Karsbach abgeholt. Behalte diese Karte, bis du sie brauchst, tauschst oder verkaufst.
community_2;Du lässt einen Allergietest mit dem Ergebnis einer mittelschweren Bienenallergie durchführen. Zahle die Kosten von 50.
community_3;Der "Rote Rüger" wird mit einem Preis ausgezeichnet. Du erhältst 100.
community_4;Dein in Frankfurt verlorener Geldbeutel taucht wieder auf. Du erhältst 100.
community_5;Du ignorierst die Coronaregeln und baust ein Iglu im Naturschutzgebiet. Zahle eine Strafe von 50.
community_6;Du wirst zur Weinprinzessin gekürt. Du erhältst 20.
community_7;Du gibst eine Runde beim Apres-Ski aus. Zahle 100.
community_8;In Karsbach findet ein Beatabend statt. Begib dich direkt dorthin. Gehe nicht über Los. Bosch zahlt keine 200.
community_9;Das von dir organisierte Weinfest ist ein voller Erfolg. Als Dank erhältst du 25.
community_10;Dir gelingt ein hervorragender Saunaaufguss. Kassiere das Eintrittsgeld in Höhe von 10 von jedem Spieler.
community_11;Die Stadt Würzburg bedankt sich bei dir für die Bekämpfung der Taubenplage durch Kochen deren Eier. Erhalte 100.
community_12;Es erschließt sich ein Markt für Socken mit Löchern. Aus Lagerverkäufen erhältst du 50.
community_13;Du gewinnst die Weinfass-Rallye. Du erhältst 10.
community_14;In deinen Bauprojekten wurden erhebliche Mängel festgestellt. Zahle zur Ausbesserung 40 für jedes Haus und 115 für jedes Hotel.
community_15;Bosch zahlt! Rücke vor bis auf Los und streiche 200 ein.
community_16;Der örtlichen Raiffeisenkasse unterläuft ein Fehler. Du erhältst 200.
