name;text
chance_1;Rücke vor bis zur Homburg.
chance_2;Auf geht's zum Heimspiel des TSV Großlangheim. Rücke vor zum Bahnhof Kitzingen. Wenn du über Los kommst, zahlt Bosch 200€.
chance_3;Dein Bausparvertrag wird fällig. Du erhältst 150€.
chance_4;Rücke vor bis zum Hügelein. Wenn du über Los kommst, zahlt Bosch 200€.
chance_5;Rücke vor bis zur nächsten kritischen Infrastruktur. Wenn diese noch niemandem gehört, kannst du sie von der Bank kaufen. Falls sie einen Besitzer hat, würfle und zahle ihm das 10-fache deines Würfelwurfes. Wenn du über Los kommst, zahlt Bosch 200€.
chance_6;In Karsbach findet ein Beatabend statt. Begib dich direkt dorthin. Gehe nicht über Los. Bosch zahlt keine 200€.
chance_7;Bosch zahlt! Rücke vor bis auf Los und streiche 200€ ein.
chance_8;Die Aktien deines Investments in argentinische Rinderhälften werfen eine Rendite ab. Die Bank zahlt dir 50€.
chance_9;Es wird Zeit für eine grundlegende Renovierung! Zahle 25€ für jedes Haus. Zahle 100€ für jedes Hotel.
chance_10;Du wirst aus Karsbach abgeholt. Behalte diese Karte, bis du sie brauchst, tauschst oder verkaufst.
chance_11;Rücke vor bis zur Bickenbachstraße. Wenn du über Los kommst, zahlt Bosch 200€.
chance_12;Du bist zum Vorstand des Kapellenvereins gewählt worden. Zahle jedem Spieler 50€.
chance_13;Gehe drei Felder zurück.
chance_14;Strafzettel! Der "Bumscontainer" steht im Halteverbot. Zahle 15€.
chance_15;Rücke vor bis zum nächsten Bahnhof. Der Eigentümer erhält das doppelte der normalen Miete. Hat noch kein Spieler einen Besitzanspruch auf diesen Bahnhof, so kann er ihn von der Bank kaufen. Wenn du über Los kommst, zahlt Bosch 200€.
chance_16;Ziehe zurück in den Unteren Liebenberg. 
